Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Loan Ratio
LP002837,Male,Yes,3+,Graduate,No,3400,2500,123,360,0,Rural,False,5900.00,2.08474576271186e-02
LP001280,Male,Yes,2,Not Graduate,No,3333,2000,99,360,0,Semiurban,False,5333.00,1.85636602287643e-02
LP002911,Male,Yes,1,Graduate,No,2787,1917,146,360,0,Rural,False,4704.00,3.10374149659864e-02
LP001250,Male,Yes,3+,Not Graduate,No,4755,0,95,0,0,Semiurban,False,4755.00,1.99789695057834e-02
LP002424,Male,Yes,0,Graduate,No,7333,8333,175,300,0,Rural,False,15666.00,1.11706881143878e-02
LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,Rural,False,6058.00,2.7236711786068e-02
LP002357,Female,No,0,Not Graduate,No,2720,0,80,0,0,Urban,False,2720.00,2.94117647058824e-02
LP002317,Male,Yes,3+,Graduate,No,81000,0,360,360,0,Rural,False,81000.00,4.44444444444444e-03
LP002794,Female,No,0,Graduate,No,2667,1625,84,360,0,Urban,False,4292.00,1.95712954333644e-02
LP002113,Female,No,3+,Not Graduate,No,1830,0,0,360,0,Urban,False,1830.00,0
LP001734,Female,Yes,2,Graduate,No,4283,2383,127,360,0,Semiurban,False,6666.00,1.90519051905191e-02
LP002847,Male,Yes,"",Graduate,No,5116,1451,165,360,0,Urban,False,6567.00,2.51256281407035e-02
LP002328,Male,Yes,0,Not Graduate,No,6096,0,218,360,0,Rural,False,6096.00,3.5761154855643e-02
LP001036,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,False,3510.00,2.16524216524217e-02
LP002443,Male,Yes,2,Graduate,No,3340,1710,150,360,0,Rural,False,5050.00,2.97029702970297e-02
LP002319,Male,Yes,0,Graduate,"",6256,0,160,360,0,Urban,False,6256.00,2.55754475703325e-02
LP002776,Female,No,0,Graduate,No,5000,0,103,360,0,Semiurban,False,5000.00,0.0206
LP001736,Male,Yes,0,Graduate,No,2221,0,60,360,0,Urban,False,2221.00,2.70148581719946e-02
LP001050,"",Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,False,5282.00,2.12040893600909e-02
LP001994,Female,No,0,Graduate,No,2400,1863,104,360,0,Urban,False,4263.00,2.43959652826648e-02
LP002447,Male,Yes,2,Not Graduate,No,1958,1456,60,300,0,Urban,False,3414.00,1.75746924428823e-02
LP002277,Female,No,0,Graduate,No,3180,0,71,360,0,Urban,False,3180.00,2.23270440251572e-02
LP002778,Male,Yes,2,Graduate,Yes,6633,0,0,360,0,Rural,False,6633.00,0
LP002943,Male,No,"",Graduate,No,2987,0,88,360,0,Semiurban,False,2987.00,2.94609976565115e-02
LP001536,Male,Yes,3+,Graduate,No,39999,0,600,180,0,Semiurban,False,39999.00,1.50003750093752e-02
LP002872,"",Yes,0,Graduate,No,3087,2210,136,360,0,Semiurban,False,5297.00,0.0256749103266
LP001326,Male,No,0,Graduate,"",6782,0,0,360,0,Urban,False,6782.00,0
LP002448,Male,Yes,0,Graduate,No,3948,1733,149,360,0,Rural,False,5681.00,2.62277767998592e-02
LP002841,Male,Yes,0,Graduate,No,3166,2064,104,360,0,Urban,False,5230.00,1.98852772466539e-02
LP001091,Male,Yes,1,Graduate,"",4166,3369,201,360,0,Urban,False,7535.00,2.66755142667551e-02
LP001451,Male,Yes,1,Graduate,Yes,10513,3850,160,180,0,Urban,False,14363.00,1.11397340388498e-02
LP001634,Male,No,0,Graduate,No,1916,5063,67,360,0,Rural,False,6979.00,9.60022925920619e-03
LP002706,Male,Yes,1,Not Graduate,No,5285,1430,161,360,0,Semiurban,False,6715.00,0.02397617274758
LP001263,Male,Yes,3+,Graduate,No,3167,4000,180,300,0,Semiurban,False,7167.00,2.51151109250733e-02
LP002545,Male,No,2,Graduate,No,3547,0,80,360,0,Rural,False,3547.00,2.25542712151114e-02
LP001528,Male,No,0,Graduate,No,6277,0,118,360,0,Rural,False,6277.00,1.87987892305241e-02
LP001465,Male,Yes,0,Graduate,No,6080,2569,182,360,0,Rural,False,8649.00,2.10428951323852e-02
LP001043,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,False,7660.00,1.35770234986945e-02
LP002036,Male,Yes,0,Graduate,No,2058,2134,88,360,0,Urban,False,4192.00,2.09923664122137e-02
LP002055,Female,No,0,Graduate,No,3166,2985,132,360,0,Rural,False,6151.00,2.14599252154121e-02
LP002990,Female,No,0,Graduate,Yes,4583,0,133,360,0,Semiurban,False,4583.00,2.90202923849007e-02
LP002403,Male,No,0,Graduate,Yes,10416,0,187,360,0,Urban,False,10416.00,1.79531490015361e-02
LP001228,Male,No,0,Not Graduate,No,3200,2254,126,180,0,Urban,False,5454.00,2.31023102310231e-02
LP002362,Male,Yes,1,Graduate,No,7250,1667,110,0,0,Urban,False,8917.00,1.23359874397219e-02
LP001732,Male,Yes,2,Graduate,"",5000,0,72,360,0,Semiurban,False,5000.00,0.0144
LP002522,Female,No,0,Graduate,Yes,2500,0,93,360,0,Urban,False,2500.00,0.0372
LP001945,Female,No,"",Graduate,No,5417,0,143,480,0,Urban,False,5417.00,2.63983754845856e-02
LP001964,Male,Yes,0,Not Graduate,No,1800,2934,93,360,0,Urban,False,4734.00,1.96451204055767e-02
LP002833,Male,Yes,0,Not Graduate,No,4467,0,120,360,0,Rural,False,4467.00,2.68636668905306e-02
LP001052,Male,Yes,1,Graduate,"",3717,2925,151,360,0,Semiurban,False,6642.00,2.27341162300512e-02
LP002068,Male,No,0,Graduate,No,4917,0,130,360,0,Rural,False,4917.00,2.64388854992882e-02
LP001109,Male,Yes,0,Graduate,No,1828,1330,100,0,0,Urban,False,3158.00,3.16656111462951e-02
LP001643,Male,Yes,0,Graduate,No,2383,2138,58,360,0,Rural,False,4521.00,1.28290201282902e-02
LP001908,Female,Yes,0,Not Graduate,No,4100,0,124,360,0,Rural,False,4100.00,3.02439024390244e-02
LP001443,Female,No,0,Graduate,No,3692,0,93,360,0,Rural,False,3692.00,2.51895991332611e-02
LP002335,Female,Yes,0,Not Graduate,No,2149,3237,178,360,0,Semiurban,False,5386.00,3.30486446342369e-02
LP002008,Male,Yes,2,Graduate,Yes,5746,0,144,84,0,Rural,False,5746.00,0.02506091193874
LP002618,Male,Yes,1,Not Graduate,No,4050,5302,138,360,0,Rural,False,9352.00,1.47562018819504e-02
LP002602,Male,No,0,Graduate,No,6283,4416,209,360,0,Rural,False,10699.00,1.95345359379381e-02
LP002444,Male,No,1,Not Graduate,Yes,2769,1542,190,360,0,Semiurban,False,4311.00,4.40733008582695e-02
LP002158,Male,Yes,0,Not Graduate,No,3000,1666,100,480,0,Urban,False,4666.00,2.14316330904415e-02
LP001633,Male,Yes,1,Graduate,No,6400,7250,180,360,0,Urban,False,13650.00,1.31868131868132e-02
LP002743,Female,No,0,Graduate,No,2138,0,99,360,0,Semiurban,False,2138.00,4.63049579045837e-02
LP001379,Male,Yes,2,Graduate,No,3800,3600,216,360,0,Urban,False,7400.00,2.91891891891892e-02
LP001610,Male,Yes,3+,Graduate,No,5516,11300,495,360,0,Semiurban,False,16816.00,2.94362511893435e-02
LP001241,Female,No,0,Graduate,No,4300,0,136,360,0,Semiurban,False,4300.00,3.16279069767442e-02
LP002287,Female,No,0,Graduate,No,1500,1800,103,360,0,Semiurban,False,3300.00,3.12121212121212e-02
LP001264,Male,Yes,3+,Not Graduate,Yes,3333,2166,130,360,0,Semiurban,False,5499.00,2.36406619385343e-02
LP001014,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,False,5540.00,2.85198555956679e-02
LP001677,Male,No,2,Graduate,No,4923,0,166,360,0,Semiurban,False,4923.00,3.3719276863701e-02
LP002449,Male,Yes,0,Graduate,No,2483,2466,90,180,0,Rural,False,4949.00,1.81854920185896e-02
LP002517,Male,Yes,1,Not Graduate,No,2653,1500,113,180,0,Rural,False,4153.00,2.72092463279557e-02
LP002723,Male,No,2,Graduate,No,3588,0,110,360,0,Rural,False,3588.00,3.06577480490524e-02
LP002043,Female,No,1,Graduate,No,3541,0,112,360,0,Semiurban,False,3541.00,3.16294831968371e-02
LP001641,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,Rural,False,2178.00,3.03030303030303e-02
LP001844,Male,No,0,Graduate,Yes,16250,0,192,360,0,Urban,False,16250.00,1.18153846153846e-02
LP002288,Male,Yes,2,Not Graduate,No,2889,0,45,180,0,Urban,False,2889.00,1.55763239875389e-02
LP001579,Male,No,0,Graduate,No,2237,0,63,480,0,Semiurban,False,2237.00,2.81627179257935e-02
LP001788,Female,No,0,Graduate,Yes,3463,0,122,360,0,Urban,False,3463.00,3.52295697372221e-02
LP002560,Male,No,0,Not Graduate,No,2699,2785,96,360,0,Semiurban,False,5484.00,1.75054704595186e-02
LP002379,Male,No,0,Graduate,No,6500,0,105,360,0,Rural,False,6500.00,1.61538461538462e-02
LP001034,Male,No,1,Not Graduate,No,3596,0,100,240,0,Urban,False,3596.00,2.78086763070078e-02
LP001186,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban,False,11500.00,2.48695652173913e-02
LP002243,Male,Yes,0,Not Graduate,No,3010,3136,0,360,0,Urban,False,6146.00,0
LP002137,Male,Yes,0,Graduate,No,6333,4583,259,360,0,Semiurban,False,10916.00,2.37266397947966e-02
LP001565,Male,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban,False,4369.00,2.7695124742504e-02
LP002446,Male,Yes,2,Not Graduate,No,2309,1255,125,360,0,Rural,False,3564.00,3.50729517396184e-02
LP001910,Male,No,1,Not Graduate,Yes,4053,2426,158,360,0,Urban,False,6479.00,2.43864793949684e-02
LP001630,Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban,False,3784.00,2.69556025369979e-02
LP002478,"",Yes,0,Graduate,Yes,2083,4083,160,360,0,Semiurban,False,6166.00,2.59487512163477e-02
LP002832,Male,Yes,2,Graduate,No,8799,0,258,360,0,Urban,False,8799.00,2.93215138083873e-02
LP002178,Male,Yes,0,Graduate,No,3013,3033,95,300,0,Urban,False,6046.00,1.57128680119087e-02
LP002315,Male,Yes,1,Graduate,No,8300,0,152,300,0,Semiurban,False,8300.00,1.83132530120482e-02
LP002500,Male,Yes,3+,Not Graduate,No,2947,1664,70,180,0,Urban,False,4611.00,1.51810887009326e-02
LP001938,Male,Yes,2,Graduate,No,4400,0,127,360,0,Semiurban,False,4400.00,2.88636363636364e-02
LP001431,Female,No,0,Graduate,No,2137,8980,137,360,0,Semiurban,False,11117.00,1.23234685616623e-02
LP001047,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,False,4511.00,2.5714919086677e-02
LP002272,Male,Yes,2,Graduate,No,3276,484,135,360,0,Semiurban,False,3760.00,3.59042553191489e-02
LP001849,Male,No,0,Not Graduate,No,6045,0,115,360,0,Rural,False,6045.00,1.90239867659222e-02
LP002757,Female,Yes,0,Not Graduate,No,3017,663,102,360,0,Semiurban,False,3680.00,2.77173913043478e-02
LP001492,Male,No,0,Graduate,No,14999,0,242,360,0,Semiurban,False,14999.00,1.61344089605974e-02
LP001222,Female,No,0,Graduate,No,4166,0,116,360,0,Semiurban,False,4166.00,2.78444551128181e-02
LP001864,Male,Yes,3+,Not Graduate,No,4931,0,128,360,0,Semiurban,False,4931.00,2.59582234840803e-02
LP002926,Male,Yes,2,Graduate,Yes,2726,0,106,360,0,Semiurban,False,2726.00,3.88848129126926e-02
LP002130,Male,Yes,"",Not Graduate,No,3523,3230,152,360,0,Rural,False,6753.00,2.25085147341922e-02
LP002223,Male,Yes,0,Graduate,No,4310,0,130,360,0,Semiurban,False,4310.00,3.01624129930394e-02
